Regiao;Estado;Cod_Munic;Cod_escola;Localizacao;Dependencia_administrativa;TotalApr;1a;2a;3a;4a;Nao-seriado;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0
Norte;RO;1100015;11024682;Urbana;Estadual;91,3;85,8;91;98;--;--;23,6;32,5;22,7;15;--
Norte;RO;1100015;11024968;Urbana;Estadual;93,3;90,4;98,1;92,6;--;--;8;13,8;4,7;3,5;--
Norte;RO;1100015;11025638;Urbana;Estadual;93,1;89,7;97,6;93,8;--;--;13,5;16,1;9,4;14,6;--
Norte;RO;1100015;11037962;Rural;Estadual;85,7;--;--;85,7;--;--;85,7;--;--;85,7;--
Norte;RO;1100015;11038373;Rural;Estadual;84,6;77,8;--;100;--;--;84,6;100;--;50;--
Norte;RO;1100015;11046252;Rural;Estadual;81,3;85,7;--;77,8;--;--;93,8;100;--;88,9;--
Norte;RO;1100023;11006889;Urbana;Estadual;79,7;75,8;79,5;83,8;--;--;27,7;35,7;25,2;22,4;--
Norte;RO;1100023;11007168;Urbana;Estadual;96,6;96,6;94,1;100;--;--;15,7;18,2;12,1;14,6;--
Norte;RO;1100023;11007656;Urbana;Privada;97,9;100;98;95,1;--;--;2,6;1,8;1,9;4,3;--
Norte;RO;1100023;11007885;Urbana;Estadual;94,9;93,2;97,5;94,6;--;--;7,3;6,9;6,7;8,6;--
Norte;RO;1100023;11007893;Urbana;Estadual;89,6;89,6;90,7;87,8;--;--;17,6;20,5;15,2;16,5;--
Norte;RO;1100023;11048620;Urbana;Estadual;84,2;79,8;87,2;95,5;--;--;18,3;16,7;20,7;19,2;--
Norte;RO;1100023;11050233;Rural;Estadual;81,2;85,4;79,2;78,4;--;--;34,9;29,4;33,3;43,2;--
Norte;RO;1100023;11050950;Urbana;Privada;100,0;100;--;--;--;--;0;0;--;--;--
Norte;RO;1100023;11108800;Rural;Federal;81,5;79,6;84,8;80,6;--;--;30,2;30,8;26;33,7;--
Norte;RO;1100031;11034270;Rural;Estadual;100,0;100;100;100;--;--;14,3;22,2;0;0;--
