Regiao;Estado;Cod_Munic;Cod_escola;Localizacao;Dependencia_administrativa;TotalApr;TDI;DSU;ATU;AFD_Grupo_1
Norte;RO;1100015;11024682;Urbana;Estadual;91,3;23,6;100,0;12,1;88,3
Norte;RO;1100015;11024968;Urbana;Estadual;93,3;8,0;100,0;25,1;68,3
Norte;RO;1100015;11025638;Urbana;Estadual;93,1;13,5;100,0;22,8;57,4
Norte;RO;1100015;11037962;Rural;Estadual;85,7;85,7;96,4;7,0;96,3
Norte;RO;1100015;11038373;Rural;Estadual;84,6;84,6;93,3;6,5;96,4
Norte;RO;1100015;11046252;Rural;Estadual;81,3;93,8;96,6;8,0;96,4
Norte;RO;1100023;11006889;Urbana;Estadual;79,7;27,7;100,0;31,5;76,0
Norte;RO;1100023;11007168;Urbana;Estadual;96,6;15,7;100,0;24,8;55,2
Norte;RO;1100023;11007656;Urbana;Privada;97,9;2,6;100,0;31,0;83,3
Norte;RO;1100023;11007885;Urbana;Estadual;94,9;7,3;100,0;31,3;61,7
Norte;RO;1100023;11007893;Urbana;Estadual;89,6;17,6;100,0;23,8;85,2
Norte;RO;1100023;11048620;Urbana;Estadual;84,2;18,3;100,0;31,0;68,0
Norte;RO;1100023;11050233;Rural;Estadual;81,2;34,9;100,0;19,0;38,5
Norte;RO;1100023;11050950;Urbana;Privada;100,0;0,0;100,0;7,0;66,7
Norte;RO;1100023;11108800;Rural;Federal;81,5;30,2;98,1;28,3;72,8
Norte;RO;1100031;11034270;Rural;Estadual;100,0;14,3;100,0;4,7;92,5
Norte;RO;1100031;11034440;Urbana;Estadual;93,6;14,3;100,0;21,0;50,5
Norte;RO;1100049;11025670;Urbana;Privada;100,0;3,4;100,0;29,7;66,7
Norte;RO;1100049;11026073;Urbana;Estadual;88,3;18,9;100,0;26,4;48,4
Norte;RO;1100049;11026197;Urbana;Estadual;81,2;29,9;100,0;28,2;68,3
Norte;RO;1100049;11026278;Urbana;Estadual;87,1;15,4;100,0;27,6;78,7
Norte;RO;1100049;11026324;Urbana;Privada;97,3;2,7;100,0;32,3;85,7
Norte;RO;1100049;11026588;Rural;Estadual;100,0;90,0;83,3;3,3;19,4
Norte;RO;1100049;11027134;Rural;Estadual;77,8;88,9;83,3;3,0;41,7
