Regiao;Estado;Cod_Munic;Cod_escola;Localizacao;Dependencia_administrativa;TotalApr;TDI;DSU;ATU;AFD
Sul;SC;4200051;42044553;Urbana;Estadual;89,5;18,4;69,2;19;43,8
Sul;SC;4200051;42152755;Urbana;Estadual;100;27,3;78,45;16,5;33,3
Sul;SC;4200101;42086728;Urbana;Estadual;72,1;27,4;78,8;21,2;56,7
Sul;SC;4200101;42145511;Rural;Estadual;89,4;8,3;85,7;16;33,3
Sul;SC;4200101;42145520;Rural;Estadual;86,2;27,9;86,7;10,2;50
Sul;SC;4200101;42152500;Rural;Federal;87,2;12,5;100;13,3;92,9
Sul;SC;4200200;42023718;Urbana;Estadual;86,3;17,2;89,7;25,1;64
Sul;SC;4200309;42023513;Urbana;Estadual;87,6;17,9;91,2;19;60,4
Sul;SC;4200408;42042429;Urbana;Estadual;83,1;22,7;88,9;21,3;76,1
Sul;SC;4200408;42042445;Rural;Estadual;99,4;6,9;72,8;24,9;67,9
Sul;SC;4200507;42054575;Urbana;Estadual;83,9;22,7;88,9;18,1;61
Sul;SC;4200556;42057876;Urbana;Estadual;83;15,9;100;14,7;62,5
Sul;SC;4200606;42005159;Urbana;Estadual;94,5;15,2;76,5;17,5;66,7
Sul;SC;4200606;42005353;Urbana;Estadual;85,5;19;92,3;19,6;52,2
Sul;SC;4200705;42097720;Urbana;Estadual;84,6;17,5;82,8;21,9;62,8
Sul;SC;4200754;42049679;Urbana;Estadual;92,7;14,3;90,9;18,7;68,4
Sul;SC;4200804;42063302;Urbana;Estadual;85,5;17,9;95;23,1;54,8
Sul;SC;4200903;42004861;Rural;Estadual;92,5;17,4;91,7;23;76,3
Sul;SC;4200903;42004977;Urbana;Estadual;98,4;16,3;100;20,5;56,8
Sul;SC;4201000;42032202;Rural;Estadual;93,6;20,8;75;16;50
Sul;SC;4201000;42032601;Urbana;Estadual;84,9;15,5;91,3;23,7;66,7
Sul;SC;4201109;42005655;Urbana;Estadual;86,5;22,8;94,1;16,8;60,2
Sul;SC;4201208;42002893;Urbana;Estadual;91,2;15,8;100;32,5;51,5
Sul;SC;4201257;42017947;Urbana;Estadual;82,7;15,7;90,6;23,2;54,5
Sul;SC;4201273;42047722;Urbana;Estadual;89,9;9,5;81;24,7;43,3
Sul;SC;4201273;42048176;Urbana;Estadual;92,3;10,5;83,3;12,7;83,8
Sul;SC;4201307;42021480;Urbana;Estadual;78,6;20,1;91,3;23,2;57,1
Sul;SC;4201307;42021685;Urbana;Estadual;63,8;33,5;86,7;33,6;67,6
Sul;SC;4201307;42021707;Urbana;Federal;93,8;19,7;100;31,8;93,5
Sul;SC;4201307;42141940;Rural;Estadual;95,7;60,9;66,7;11,5;25
Sul;SC;4201307;42152690;Urbana;Estadual;90,5;24,6;86,5;35,9;58,6
Sul;SC;4201307;42223202;Rural;Privada;92,8;3,9;100;48,4;47,5
Sul;SC;4201406;42028736;Urbana;Privada;98,8;0;92,9;27,7;83,3
Sul;SC;4201406;42076420;Urbana;Privada;92,4;1,7;100;29,2;72,2
Sul;SC;4201406;42076447;Urbana;Estadual;87,7;18,6;100;24,9;48,3
Sul;SC;4201406;42076455;Urbana;Estadual;79,4;23,3;100;23,8;64,6
Sul;SC;4201406;42076463;Urbana;Estadual;86;15;98,2;25,5;66,1
Sul;SC;4201406;42076471;Urbana;Estadual;90,4;10;100;26,1;70,4
Sul;SC;4201406;42076579;Urbana;Estadual;76,1;36,2;96,3;28,6;64,7
Sul;SC;4201406;42111706;Urbana;Privada;92,2;5,2;100;25,7;79,1
Sul;SC;4201406;42238200;Urbana;Federal;93,3;13,2;100;29,6;5,2
Sul;SC;4201505;42008468;Urbana;Estadual;82,5;23;87,5;17,7;43,7
Sul;SC;4201604;42073219;Urbana;Estadual;79,5;24,7;83,3;14,2;71,8
Sul;SC;4201653;42050340;Urbana;Estadual;86,9;17,1;75;20,5;43,3
Sul;SC;4201703;42018307;Urbana;Estadual;75,4;16,9;93,1;21,8;50,6
Sul;SC;4201703;42018315;Urbana;Privada;99;1,9;100;34,7;85,7
Sul;SC;4201802;42095972;Urbana;Estadual;95,2;13,8;95;17,6;57,7
Sul;SC;4201901;42022894;Urbana;Estadual;83,3;17;95,5;23;70,9
Sul;SC;4201950;42076315;Urbana;Estadual;79,7;25,6;94,1;23,9;76,1
Sul;SC;4202008;42069971;Urbana;Estadual;77,6;16,1;100;27;88,1
Sul;SC;4202008;42070040;Urbana;Estadual;64,2;33,5;98,3;27,9;69,3
Sul;SC;4202008;42070066;Urbana;Estadual;74,3;28,5;100;24,6;76,5
Sul;SC;4202008;42070074;Urbana;Estadual;75,2;29,8;93,8;25,4;60
Sul;SC;4202008;42114012;Urbana;Privada;98,3;4,3;92;41,4;82,2
Sul;SC;4202008;42116295;Urbana;Privada;98,5;6,2;81,8;21,7;60
Sul;SC;4202008;42140285;Urbana;Privada;95,8;11,3;83,3;23,7;68,4
Sul;SC;4202008;42144329;Urbana;Privada;99,5;3,7;96,7;35,8;62,1
Sul;SC;4202008;42151775;Urbana;Privada;99,1;3,5;100;38;85,4
Sul;SC;4202008;42152674;Urbana;Estadual;63;23,4;89,2;37,2;61,6
Sul;SC;4202008;42153824;Urbana;Privada;96,4;2,8;87,2;51,8;60,1
